timer,has_round_started,is_round_over,player1_ID,player1_health,player2_ID,player2_health,player1_x_coord,player1_y_coord,player2_x_coord,player2_y_coord,player1_left,player1_right,player1_up,player1_down,player1_jump,player1_crouch,player1_A,player1_B,player1_X,player1_Y,player1_L,player1_R,player2_left,player2_right,player2_up,player2_down,player2_jump,player2_crouch,player2_A,player2_B,player2_X,player2_Y,player2_L,player2_R,fight_result
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,False,False,True,False,False,True,False,False,False,True,True,True,True,False,True,False,False,True,False,False,False,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,True,True,False,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False,True,False,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,True,False,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,True,True,True,False,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,False,True,True,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,True,True,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,True,True,False,False,True,True,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,False,False,False,True,False,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,False,False,False,True,True,False,False,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,True,True,False,False,False,True,True,True,False,True,False,True,False,True,False,False,False,False,True,True,False,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,True,True,False,False,True,False,True,False,True,False,True,True,True,False,False,False,True,False,True,True,False,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,True,True,False,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,True,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,False,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,False,True,True,False,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,True,True,False,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,False,False,False,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,True,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,True,0
153.0,False,False,0.0,176.0,6.0,176.0,205.0,192.0,307.0,192.0,True,False,True,False,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,True,True,True,True,True,0
